i, fps
1, 1
2, 250
3, 632
4, 837
5, 392
6, 262
7, 1231
8, 786
9, 1252
10, 1072
11, 1431
12, 1284
13, 1430
14, 2407
15, 1261
16, 693
17, 742
18, 945
19, 1842
20, 961
21, 1175
22, 1624
23, 1134
24, 1810
25, 1582
26, 2559
27, 1126
28, 1160
29, 2596
30, 1669
31, 1814
32, 2131
33, 1168
34, 2274
35, 1502
36, 2390
37, 1415
38, 1136
39, 2434
40, 1585
41, 1906
42, 1613
43, 1107
44, 587
45, 2248
46, 1416
47, 1631
48, 1807
49, 1614
50, 2631
51, 1569
52, 2010
53, 1615
54, 2834
55, 1866
56, 2571
57, 1558
58, 2082
59, 1747
60, 2762
61, 1464
62, 1974
63, 1263
64, 1145
65, 1497
66, 3000
67, 1755
68, 2395
69, 1678
70, 2105
71, 1639
72, 2076
73, 1599
74, 2266
75, 1631
76, 2609
77, 1621
78, 2427
79, 1861
80, 2698
81, 2069
82, 1787
83, 1665
84, 2787
85, 1613
86, 2317
87, 1586
88, 2373
89, 1914
90, 2890
91, 1429
92, 989
93, 2157
94, 1916
95, 1708
96, 994
97, 1374
98, 1621
99, 1802
100, 1603
101, 1979
102, 58
103, 30
104, 19
105, 20
106, 30
107, 58
108, 53
109, 69
110, 57
111, 61
112, 62
113, 59
114, 63
115, 60
116, 59
117, 61
118, 58
119, 60
120, 59
121, 58
122, 55
123, 60
124, 59
125, 55
126, 71
127, 59
128, 60
129, 60
130, 60
131, 59
132, 60
133, 57
134, 51
135, 75
136, 58
137, 60
138, 54
139, 64
140, 60
141, 58
142, 62
143, 56
144, 64
145, 60
146, 60
147, 59
148, 60
149, 61
150, 57
151, 61
152, 60
153, 59
154, 58
155, 61
156, 60
157, 59
158, 59
159, 61
160, 58
161, 62
162, 58
163, 60
164, 56
165, 63
166, 59
167, 59
168, 58
169, 56
170, 64
171, 58
172, 61
173, 59
174, 60
175, 58
176, 62
177, 59
178, 60
179, 61
180, 59
181, 59
182, 59
183, 59
184, 60
185, 59
186, 60
187, 60
188, 59
189, 59
190, 60
191, 60
192, 59
193, 60
194, 59
195, 60
196, 60
197, 59
198, 60
199, 59
200, 57
201, 60
202, 62
203, 60
204, 59
205, 59
206, 61
207, 60
208, 59
209, 59
210, 60
211, 60
212, 58
213, 60
214, 58
215, 61
216, 59
217, 60
218, 61
219, 58
220, 60
221, 59
