Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
228, 60, 81190912, 0
229, 59, 81190912, 0
230, 60, 81190912, 0
231, 60, 81190912, 0
232, 59, 81190912, 0
233, 59, 81190912, 0
234, 61, 81190912, 0
235, 60, 81190912, 0
236, 59, 81190912, 0
237, 59, 81190912, 0
238, 61, 81190912, 0
239, 58, 81190912, 0
240, 58, 81190912, 0
241, 62, 81190912, 0
242, 59, 81190912, 0
243, 61, 81190912, 7.43207
244, 58, 81190912, 0
245, 61, 81190912, 0
246, 55, 81190912, 0
247, 59, 81190912, 0
248, 60, 81190912, 0
249, 53, 81190912, 0
250, 60, 81190912, 0
251, 60, 81190912, 0
252, 65, 81190912, 0
253, 61, 81190912, 0
254, 60, 81190912, 0
255, 59, 81190912, 0
256, 59, 81190912, 7.61733
257, 60, 81190912, 0
258, 59, 81190912, 0
259, 59, 81190912, 0
260, 60, 81190912, 0
261, 58, 81190912, 0
262, 57, 81190912, 0
263, 64, 81190912, 0
264, 53, 81190912, 0
265, 56, 81190912, 0
266, 70, 81190912, 0
267, 62, 81190912, 0
268, 60, 81190912, 0
269, 59, 81190912, 0
270, 57, 81190912, 0
271, 62, 81190912, 7.65958
272, 56, 81190912, 0
273, 65, 81190912, 0
274, 59, 81190912, 0
275, 52, 81190912, 0
276, 65, 81190912, 0
277, 53, 81190912, 0
278, 63, 81190912, 0
279, 57, 81190912, 0
280, 59, 81190912, 0
281, 60, 81190912, 0
282, 60, 81190912, 0
283, 61, 81190912, 0
284, 60, 81190912, 0
285, 60, 81203200, 7.65445
286, 53, 81203200, 0
287, 64, 81203200, 0
288, 62, 81203200, 0
289, 59, 81203200, 0
290, 57, 81203200, 0
291, 66, 81203200, 0
292, 60, 81203200, 0
293, 57, 81203200, 0
294, 64, 81203200, 0
295, 59, 81203200, 0
296, 59, 81203200, 0
297, 58, 81203200, 0
298, 51, 81203200, 9.63229
299, 61, 81203200, 0
300, 58, 81203200, 0
301, 62, 81203200, 0
302, 66, 81203200, 0
303, 52, 81203200, 0
304, 65, 81203200, 0
305, 63, 81203200, 0
306, 60, 81203200, 0
307, 50, 81203200, 0
308, 67, 81203200, 0
309, 56, 81203200, 0
310, 66, 81203200, 0
311, 55, 81203200, 0
312, 58, 81203200, 0
313, 60, 81203200, 7.62058
314, 64, 81203200, 0
315, 63, 81203200, 0
316, 58, 81203200, 0
317, 61, 81203200, 0
318, 59, 81203200, 0
319, 59, 81203200, 0
320, 60, 81203200, 0
321, 58, 81203200, 0
322, 52, 81203200, 0
323, 72, 81203200, 0
