Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
239, 62, 148692992, 0
240, 56, 148692992, 0
241, 60, 148692992, 0
242, 62, 148692992, 0
243, 60, 148692992, 0
244, 60, 148692992, 0
245, 59, 148692992, 0
246, 58, 148692992, 0
247, 59, 148692992, 0
248, 62, 148692992, 0
249, 57, 148692992, 8.10883
250, 60, 148692992, 15.7175
251, 62, 148692992, 0
252, 54, 148692992, 0
253, 67, 148692992, 0
254, 58, 148692992, 0
255, 58, 148692992, 0
256, 63, 148692992, 0
257, 60, 148692992, 0
258, 59, 148692992, 0
259, 59, 148692992, 0
260, 60, 148692992, 0
261, 58, 148692992, 0
262, 58, 148692992, 0
263, 63, 148692992, 0
264, 59, 148692992, 0
265, 60, 148692992, 0
266, 60, 148692992, 22.3559
267, 59, 148692992, 0
268, 60, 148692992, 0
269, 58, 148697088, 0
270, 58, 148697088, 0
271, 63, 148697088, 0
272, 60, 148697088, 0
273, 60, 148697088, 0
274, 56, 148697088, 0
275, 63, 148697088, 0
276, 54, 148697088, 0
277, 61, 148697088, 0
278, 54, 148697088, 7.63994
279, 67, 148697088, 7.25197
280, 59, 148697088, 0
281, 61, 148697088, 0
282, 63, 148697088, 0
283, 59, 148697088, 0
284, 60, 148697088, 0
285, 56, 148697088, 0
286, 60, 148697088, 0
287, 63, 148697088, 0
288, 59, 148697088, 0
289, 60, 148697088, 0
290, 60, 148697088, 0
291, 58, 148697088, 0
292, 60, 148697088, 0
293, 59, 148697088, 0
294, 60, 148697088, 0
295, 58, 148697088, 8.13802
296, 61, 148697088, 7.64371
297, 59, 148697088, 0
298, 60, 148697088, 0
299, 45, 148709376, 0
300, 72, 148709376, 0
301, 61, 148709376, 0
302, 64, 148709376, 0
303, 55, 148709376, 0
304, 62, 148709376, 0
305, 61, 148709376, 0
306, 57, 148709376, 0
307, 65, 148709376, 0
308, 59, 148709376, 0
309, 60, 148709376, 0
310, 59, 148709376, 7.7176
311, 59, 148709376, 0
312, 64, 148709376, 0
313, 55, 148709376, 0
314, 65, 148709376, 0
315, 56, 148709376, 0
316, 63, 148709376, 0
317, 60, 148709376, 0
318, 56, 148709376, 0
319, 64, 148709376, 0
320, 58, 148709376, 0
321, 60, 148709376, 0
322, 61, 148709376, 0
323, 60, 148709376, 0
324, 55, 148709376, 8.12259
325, 61, 148709376, 8.1308
326, 63, 148709376, 7.68182
327, 60, 148709376, 0
328, 59, 148709376, 0
329, 60, 148709376, 0
330, 56, 148717568, 0
331, 63, 148717568, 0
332, 51, 148717568, 0
333, 59, 148717568, 0
334, 59, 148717568, 0
335, 59, 148717568, 0
