i, fps
626, 61
627, 59
628, 59
629, 60
630, 61
631, 59
632, 53
633, 62
634, 58
635, 65
636, 60
637, 59
638, 61
639, 59
640, 59
641, 59
642, 60
643, 59
644, 59
645, 60
646, 54
647, 58
648, 69
649, 59
650, 60
651, 59
652, 60
653, 59
654, 59
655, 60
656, 60
657, 59
658, 53
659, 59
660, 67
661, 60
662, 52
663, 69
664, 59
665, 59
666, 61
667, 58
668, 61
669, 59
670, 60
671, 54
672, 65
673, 60
674, 58
675, 61
676, 59
677, 54
678, 66
679, 59
680, 61
681, 58
682, 60
683, 54
684, 66
685, 60
686, 59
687, 59
688, 60
689, 60
690, 60
691, 59
692, 53
693, 68
694, 59
695, 55
696, 67
697, 59
698, 61
699, 59
700, 59
701, 60
702, 59
703, 60
704, 60
705, 59
706, 59
707, 53
708, 61
709, 65
710, 60
711, 59
712, 58
713, 62
714, 60
715, 58
716, 60
717, 61
718, 59
719, 59
720, 60
721, 55
722, 58
723, 66
724, 60
725, 59
726, 59
727, 59
728, 61
729, 59
730, 61
731, 60
732, 59
733, 59
734, 55
735, 64
736, 60
737, 55
738, 59
739, 65
740, 60
741, 60
742, 58
743, 59
744, 60
745, 59
746, 56
747, 64
748, 59
749, 59
750, 60
751, 60
752, 53
753, 63
754, 63
755, 56
756, 62
757, 57
758, 59
759, 56
760, 70
761, 59
762, 59
763, 60
764, 59
765, 61
766, 59
767, 53
768, 69
769, 59
770, 61
771, 53
772, 66
773, 60
774, 60
775, 60
776, 60
777, 59
778, 60
779, 59
780, 59
781, 60
782, 53
783, 62
784, 60
785, 56
786, 61
787, 62
788, 65
789, 55
790, 56
791, 59
792, 59
793, 60
794, 60
795, 60
796, 60
797, 60
798, 60
799, 58
800, 60
801, 59
802, 61
803, 58
804, 58
805, 62
806, 60
807, 59
808, 60
809, 80
810, 60
811, 59
812, 60
813, 59
814, 60
815, 59
816, 60
817, 60
818, 59
819, 60
820, 58
821, 58
822, 61
823, 60
824, 59
825, 56
826, 63
827, 59
828, 60
829, 60
830, 60
831, 55
832, 63
833, 59
834, 61
835, 60
836, 59
837, 60
838, 60
839, 59
840, 60
841, 59
842, 59
843, 60
844, 60
845, 59
846, 59
847, 61
848, 60
849, 59
850, 60
851, 59
852, 59
853, 60
854, 60
855, 59
856, 60
857, 59
858, 58
859, 59
860, 60
861, 57
862, 63
863, 57
864, 60
865, 61
866, 60
867, 59
868, 59
869, 61
870, 59
871, 59
872, 60
873, 59
874, 60
875, 61
876, 59
877, 60
878, 59
879, 60
880, 56
881, 63
882, 60
883, 59
884, 59
885, 60
886, 59
887, 59
888, 60
889, 61
890, 60
891, 59
892, 59
893, 60
894, 59
895, 60
896, 55
897, 60
898, 60
899, 63
900, 56
901, 63
902, 56
903, 63
904, 60
905, 59
906, 59
907, 60
908, 59
909, 59
910, 58
911, 61
912, 60
913, 60
914, 59
915, 58
916, 61
917, 47
918, 71
919, 63
920, 60
921, 51
922, 67
923, 63
924, 59
925, 60
926, 57
927, 61
928, 58
929, 62
930, 60
931, 60
932, 52
933, 60
934, 57
935, 67
936, 65
937, 60
938, 60
939, 59
940, 59
941, 59
942, 60
943, 59
944, 57
945, 63
946, 58
947, 52
948, 60
949, 66
950, 64
951, 58
952, 60
953, 59
954, 60
955, 60
956, 60
957, 59
958, 59
959, 47
960, 66
961, 59
962, 53
963, 72
964, 60
965, 63
966, 55
967, 63
968, 57
969, 59
970, 69
971, 51
972, 64
973, 63
974, 58
975, 63
976, 61
977, 49
978, 69
979, 59
980, 62
981, 58
982, 58
983, 59
984, 59
985, 62
986, 57
987, 61
988, 61
989, 58
990, 58
991, 62
992, 54
993, 62
994, 63
995, 60
996, 59
997, 57
998, 60
999, 65
1000, 58
1001, 57
1002, 60
1003, 56
1004, 65
1005, 56
1006, 68
1007, 49
1008, 72
1009, 62
1010, 53
1011, 59
1012, 66
1013, 59
1014, 59
1015, 60
1016, 59
1017, 61
1018, 60
1019, 60
1020, 60
1021, 59
1022, 54
1023, 61
1024, 63
1025, 60
1026, 61
1027, 57
1028, 56
1029, 63
1030, 57
1031, 61
1032, 60
1033, 61
1034, 60
1035, 56
1036, 65
1037, 53
1038, 61
1039, 62
1040, 56
1041, 65
1042, 60
1043, 59
1044, 58
1045, 61
1046, 61
1047, 55
1048, 64
1049, 59
1050, 57
1051, 61
1052, 55
1053, 65
1054, 63
1055, 57
1056, 61
1057, 54
1058, 68
1059, 58
1060, 56
1061, 64
1062, 60
1063, 56
1064, 59
1065, 61
1066, 61
1067, 55
1068, 55
1069, 64
1070, 63
1071, 64
1072, 62
1073, 49
1074, 68
1075, 64
1076, 56
1077, 60
1078, 59
1079, 59
1080, 64
1081, 59
1082, 52
1083, 72
1084, 57
1085, 59
1086, 55
1087, 68
1088, 58
1089, 60
1090, 62
1091, 53
1092, 53
1093, 63
1094, 74
1095, 59
1096, 59
1097, 53
1098, 58
1099, 61
1100, 62
1101, 57
1102, 65
1103, 58
1104, 63
1105, 55
1106, 62
1107, 58
1108, 63
1109, 61
1110, 58
1111, 56
1112, 58
1113, 63
1114, 59
1115, 61
1116, 58
1117, 61
1118, 59
1119, 60
1120, 57
1121, 64
1122, 57
1123, 58
1124, 61
1125, 62
1126, 60
1127, 56
1128, 55
1129, 64
1130, 62
1131, 55
1132, 60
1133, 68
1134, 52
1135, 63
1136, 56
1137, 68
1138, 63
1139, 57
1140, 62
1141, 58
1142, 52
1143, 64
1144, 66
1145, 60
1146, 57
1147, 61
1148, 57
1149, 56
1150, 64
1151, 64
1152, 56
1153, 63
1154, 53
1155, 51
1156, 82
1157, 50
1158, 56
1159, 62
1160, 58
1161, 69
1162, 52
1163, 66
1164, 59
1165, 57
1166, 61
1167, 58
1168, 59
1169, 61
1170, 62
1171, 58
1172, 65
1173, 54
1174, 66
1175, 56
1176, 69
1177, 57
1178, 59
