i, fps
1, 1
2, 283
3, 853
4, 1319
5, 1450
6, 1517
7, 1689
8, 716
9, 1099
10, 855
11, 900
12, 1345
13, 649
14, 968
15, 460
16, 918
17, 1312
18, 1158
19, 1476
20, 1716
21, 1697
22, 1548
23, 1312
24, 1370
25, 1643
26, 1408
27, 1677
28, 1821
29, 1488
30, 1678
31, 1712
32, 1604
33, 1426
34, 1167
35, 1376
36, 1305
37, 418
38, 1580
39, 1201
40, 1164
41, 1224
42, 1214
43, 934
44, 1420
45, 1280
46, 1305
47, 1259
48, 1056
49, 1383
50, 1220
51, 1243
52, 1352
53, 1260
54, 1248
55, 716
56, 1431
57, 1109
58, 1460
59, 1199
60, 1810
61, 1362
62, 1246
63, 1779
64, 1776
65, 1367
66, 1607
67, 1346
68, 1305
69, 1327
70, 1474
71, 1639
72, 1615
73, 1540
74, 1706
75, 1675
76, 1723
77, 1760
78, 1684
79, 1186
80, 15
81, 28
82, 29
83, 31
84, 62
85, 58
86, 61
87, 58
88, 60
89, 57
90, 56
91, 66
92, 59
93, 52
94, 69
95, 58
96, 61
97, 59
98, 52
99, 60
100, 64
101, 61
102, 58
103, 65
104, 60
105, 60
106, 60
107, 60
108, 55
109, 64
110, 60
111, 57
112, 62
113, 57
114, 58
115, 60
116, 52
117, 68
118, 62
119, 60
120, 59
121, 60
122, 59
123, 58
124, 59
125, 60
126, 59
127, 29
128, 65
129, 60
130, 61
131, 60
132, 60
133, 59
134, 61
135, 58
136, 57
137, 64
138, 57
139, 53
140, 61
141, 66
142, 61
143, 59
144, 60
145, 59
146, 61
147, 61
148, 60
149, 59
150, 58
151, 60
152, 59
153, 60
154, 58
155, 61
156, 60
157, 58
158, 60
159, 60
160, 59
161, 60
162, 59
163, 59
164, 59
165, 60
166, 60
167, 59
168, 57
169, 62
170, 60
171, 60
172, 59
173, 60
174, 59
175, 60
176, 59
177, 59
178, 59
179, 60
180, 60
181, 60
182, 59
183, 60
184, 59
185, 57
186, 62
187, 60
188, 59
189, 60
190, 58
191, 60
192, 60
193, 60
194, 59
195, 59
196, 60
197, 59
198, 60
199, 59
200, 60
201, 59
202, 59
203, 58
204, 60
205, 62
206, 59
207, 59
208, 59
209, 60
210, 59
211, 60
212, 59
213, 60
214, 60
215, 60
216, 58
217, 61
218, 60
219, 60
220, 60
221, 59
222, 60
223, 59
224, 60
225, 58
226, 61
227, 58
228, 60
229, 59
230, 60
231, 60
232, 60
233, 60
234, 60
235, 59
236, 60
237, 60
238, 59
239, 60
240, 59
241, 60
242, 59
243, 60
244, 60
245, 60
246, 60
247, 59
248, 59
249, 60
250, 60
251, 59
252, 60
253, 59
254, 59
255, 60
256, 56
257, 51
258, 68
259, 61
260, 62
261, 59
262, 60
263, 60
264, 60
265, 59
266, 52
267, 66
268, 63
269, 59
270, 60
271, 58
272, 52
273, 67
274, 63
275, 58
276, 60
