Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
125, 61, 153251840, 8.13639, 54, 23, 1176031232
126, 62, 153251840, 8.13909, 54, 23, 1176031232
127, 60, 153251840, 7.235, 54, 23, 1176031232
128, 57, 153251840, 0, 54, 23, 1176031232
129, 63, 153251840, 0, 54, 23, 1176031232
130, 59, 153251840, 0, 54, 23, 1176031232
131, 60, 153251840, 0, 54, 23, 1176031232
132, 59, 153251840, 0, 54, 23, 1176031232
133, 60, 153251840, 0, 54, 23, 1176031232
134, 60, 153251840, 0, 54, 23, 1176031232
135, 59, 153251840, 0, 54, 23, 1176031232
136, 59, 153251840, 0, 54, 23, 1174065152
137, 58, 153251840, 0, 54, 23, 1174065152
138, 54, 153251840, 0, 54, 23, 1174065152
139, 63, 153251840, 0, 54, 23, 1174065152
140, 61, 153251840, 0, 54, 23, 1174065152
141, 61, 153251840, 0, 54, 23, 1174065152
142, 60, 153251840, 7.65747, 54, 23, 1174065152
143, 60, 153251840, 0, 54, 23, 1174065152
144, 60, 153251840, 0, 54, 23, 1174065152
145, 59, 153251840, 0, 54, 23, 1174065152
146, 60, 153251840, 0, 54, 23, 1174065152
147, 59, 153251840, 0, 54, 23, 1174065152
148, 59, 153251840, 0, 54, 23, 1174065152
149, 60, 153251840, 0, 54, 23, 1174065152
150, 59, 153251840, 0, 54, 23, 1174065152
151, 57, 153251840, 0, 54, 23, 1174065152
152, 62, 153251840, 0, 54, 23, 1174065152
153, 60, 153251840, 0, 54, 23, 1174065152
154, 58, 153251840, 0, 54, 23, 1174065152
155, 61, 153251840, 0, 54, 22, 1174065152
156, 59, 153251840, 0, 54, 22, 1174065152
157, 60, 153251840, 7.65841, 54, 22, 1174065152
158, 60, 153251840, 0, 54, 22, 1174065152
159, 59, 153251840, 0, 54, 22, 1174065152
160, 60, 153251840, 0, 54, 22, 1174065152
161, 60, 153251840, 0, 54, 22, 1174065152
162, 59, 153251840, 0, 54, 22, 1174065152
163, 59, 153251840, 0, 54, 22, 1174065152
164, 61, 153251840, 0, 54, 22, 1174065152
165, 60, 153251840, 0, 54, 22, 1174065152
166, 55, 153251840, 0, 54, 22, 1174065152
167, 64, 153251840, 0, 54, 22, 1174065152
168, 60, 153251840, 0, 54, 22, 1174065152
169, 55, 153251840, 0, 54, 22, 1174065152
170, 62, 153251840, 0, 54, 22, 1174065152
171, 62, 153251840, 0, 54, 22, 1174065152
172, 60, 153251840, 7.66058, 54, 22, 1174065152
173, 60, 153251840, 0, 54, 22, 1174065152
174, 60, 153251840, 0, 54, 22, 1174065152
175, 60, 153251840, 0, 54, 22, 1174065152
