Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
126, 59, 101449728, 0, 53, 3, 1024929792
127, 60, 101449728, 0, 53, 3, 1024929792
128, 60, 101449728, 0, 53, 3, 1024929792
129, 59, 101449728, 0, 53, 3, 1024929792
130, 59, 101449728, 0, 53, 3, 1024929792
131, 59, 101449728, 0, 53, 3, 1024929792
132, 60, 101449728, 0, 53, 3, 1024929792
133, 61, 101449728, 0, 53, 3, 1024929792
134, 56, 101449728, 0, 53, 3, 1024929792
135, 65, 101449728, 0, 53, 3, 1024929792
136, 59, 101449728, 7.84695, 53, 3, 1024929792
137, 60, 101449728, 0, 53, 3, 1024929792
138, 60, 101449728, 0, 53, 3, 1024929792
139, 59, 101449728, 0, 53, 3, 1024929792
140, 60, 101449728, 0, 53, 3, 1024929792
141, 59, 101449728, 0, 53, 3, 1024929792
142, 59, 101449728, 0, 53, 3, 1024929792
143, 58, 101449728, 0, 53, 3, 1024929792
144, 63, 101449728, 0, 53, 3, 1024929792
145, 59, 101449728, 0, 53, 3, 1024929792
146, 60, 101449728, 0, 53, 3, 1024929792
147, 59, 101449728, 0, 53, 3, 1024929792
148, 60, 101449728, 0, 53, 3, 1024929792
149, 59, 101449728, 0, 53, 3, 1024929792
150, 60, 101449728, 0, 53, 3, 1024929792
151, 59, 101449728, 7.65999, 53, 3, 1024929792
152, 60, 101449728, 0, 53, 3, 1024929792
153, 59, 101449728, 0, 53, 3, 1024929792
154, 56, 101449728, 0, 53, 3, 1024929792
155, 64, 101449728, 0, 53, 3, 1024929792
156, 58, 101449728, 0, 53, 3, 1024929792
157, 62, 101449728, 0, 53, 3, 1024929792
158, 60, 101449728, 0, 53, 3, 1024929792
159, 60, 101449728, 0, 53, 3, 1024929792
160, 58, 101449728, 0, 53, 3, 1024929792
161, 62, 101449728, 0, 53, 3, 1024929792
162, 55, 101449728, 0, 53, 3, 1024929792
163, 65, 101449728, 0, 53, 3, 1024929792
164, 56, 101449728, 0, 53, 3, 1024929792
165, 63, 101449728, 0, 53, 3, 1024929792
166, 59, 101449728, 7.83859, 53, 3, 1024929792
167, 58, 101449728, 0, 53, 3, 1024929792
168, 61, 101449728, 0, 53, 3, 1025060864
169, 59, 101449728, 0, 53, 3, 1025060864
170, 59, 101449728, 0, 53, 3, 1025060864
171, 61, 101449728, 0, 53, 2, 1025060864
172, 59, 101449728, 0, 53, 2, 1025060864
173, 60, 101449728, 0, 53, 2, 1025060864
174, 59, 101449728, 0, 53, 2, 1025060864
175, 59, 101449728, 0, 53, 2, 1025060864
176, 60, 101449728, 0, 53, 2, 1025060864
177, 60, 101449728, 0, 53, 2, 1025060864
178, 59, 101449728, 0, 53, 2, 1025060864
179, 60, 101449728, 0, 53, 2, 1025060864
180, 59, 101449728, 0, 53, 2, 1023094784
181, 59, 101449728, 0, 53, 2, 1023094784
182, 60, 101449728, 0, 53, 2, 1023094784
183, 60, 101449728, 0, 53, 2, 1023094784
184, 56, 101449728, 0, 53, 2, 1023094784
185, 64, 101449728, 0, 53, 2, 1023094784
186, 60, 101449728, 0, 53, 2, 1023094784
187, 60, 101449728, 0, 53, 2, 1023094784
188, 59, 101449728, 0, 53, 2, 1023094784
189, 59, 101449728, 0, 53, 2, 1023094784
190, 54, 101449728, 0, 53, 2, 1023094784
191, 67, 101449728, 0, 53, 2, 1023094784
192, 59, 101449728, 0, 53, 2, 1023094784
193, 60, 101449728, 0, 53, 2, 1023094784
194, 57, 101449728, 0, 53, 2, 1023094784
195, 61, 101449728, 0, 53, 2, 1023094784
196, 58, 101449728, 7.65247, 53, 2, 1023094784
197, 61, 101449728, 7.74137, 53, 2, 1023094784
198, 58, 101449728, 0, 53, 2, 1023094784
199, 62, 101449728, 0, 53, 2, 1023094784
200, 60, 101449728, 0, 53, 2, 1023094784
201, 60, 101449728, 0, 53, 2, 1023094784
202, 59, 101449728, 0, 53, 2, 1023094784
203, 60, 101449728, 0, 53, 2, 1023094784
204, 58, 101449728, 0, 53, 2, 1023094784
205, 61, 101449728, 0, 53, 2, 1023094784
206, 59, 101449728, 0, 53, 2, 1023094784
207, 58, 101449728, 0, 53, 2, 1023094784
208, 62, 101449728, 0, 53, 2, 1023094784
209, 59, 101449728, 0, 53, 2, 1023094784
210, 59, 101449728, 0, 53, 2, 1023094784
211, 59, 101449728, 7.65909, 53, 2, 1023094784
212, 60, 101449728, 8.13721, 53, 2, 1023094784
213, 59, 101449728, 0, 53, 2, 1023094784
214, 60, 101449728, 0, 53, 2, 1023094784
215, 60, 101449728, 0, 53, 2, 1023094784
216, 58, 101449728, 0, 53, 2, 1023094784
217, 61, 101449728, 0, 53, 2, 1023094784
218, 56, 101449728, 0, 53, 2, 1023094784
219, 64, 101449728, 0, 53, 2, 1023094784
220, 58, 101449728, 0, 53, 2, 1023094784
221, 53, 101449728, 0, 53, 2, 1023094784
222, 64, 101449728, 0, 53, 2, 1023094784
223, 60, 101449728, 0, 53, 2, 1023094784
224, 59, 101449728, 0, 53, 2, 1023094784
225, 61, 102498304, 0, 53, 2, 1023094784
226, 48, 102498304, 0, 53, 2, 1023094784
227, 79, 102498304, 7.65805, 53, 2, 1023094784
228, 59, 102498304, 0, 53, 2, 1023094784
229, 58, 102498304, 0, 53, 2, 1023094784
230, 61, 102498304, 0, 53, 2, 1023094784
231, 57, 102498304, 0, 53, 2, 1023094784
232, 62, 102498304, 0, 53, 2, 1023094784
233, 57, 103546880, 0, 53, 2, 1023094784
234, 50, 103968768, 0, 53, 2, 1023094784
235, 66, 103968768, 0, 53, 2, 1023094784
236, 59, 103968768, 0, 53, 2, 1023094784
237, 67, 103968768, 0, 53, 2, 1023094784
238, 53, 103968768, 0, 53, 2, 1023094784
239, 60, 103968768, 0, 53, 2, 1023094784
240, 67, 103968768, 7.23384, 53, 2, 1023160320
241, 54, 103968768, 0, 53, 2, 1023160320
242, 58, 103968768, 0, 53, 2, 1023160320
243, 73, 103968768, 0, 53, 2, 1023160320
244, 57, 103968768, 0, 52, 2, 1023160320
245, 57, 103968768, 0, 52, 2, 1023160320
246, 54, 103968768, 0, 52, 2, 1023160320
247, 62, 103968768, 0, 52, 2, 1023160320
248, 69, 103968768, 0, 52, 2, 1023160320
249, 61, 103968768, 0, 52, 2, 1023160320
250, 57, 103968768, 0, 52, 2, 1023160320
251, 63, 103968768, 0, 52, 2, 1023160320
252, 60, 103968768, 0, 52, 2, 1023160320
253, 60, 103968768, 0, 52, 2, 1023160320
254, 57, 103968768, 0, 52, 2, 1023160320
255, 62, 103968768, 0, 52, 2, 1023160320
256, 50, 103968768, 9.29542, 52, 2, 1023160320
257, 71, 103968768, 0, 52, 2, 1023160320
258, 61, 103968768, 0, 52, 2, 1023160320
259, 50, 103968768, 0, 52, 2, 1023160320
260, 71, 103968768, 0, 52, 2, 1023160320
261, 61, 103968768, 0, 52, 2, 1023160320
262, 59, 103968768, 0, 52, 2, 1023160320
263, 59, 103968768, 0, 52, 2, 1023160320
264, 56, 103968768, 0, 52, 2, 1023160320
265, 58, 103968768, 0, 52, 2, 1023160320
266, 60, 103968768, 0, 52, 2, 1023160320
267, 60, 103968768, 0, 52, 2, 1023160320
268, 58, 103968768, 0, 52, 2, 1023160320
269, 61, 103968768, 0, 52, 2, 1023160320
270, 60, 103968768, 0, 52, 2, 1023160320
271, 53, 103968768, 0, 52, 2, 1023160320
272, 55, 103968768, 0, 52, 2, 1023160320
273, 74, 103968768, 0, 52, 2, 1023160320
274, 58, 103968768, 0, 52, 2, 1023160320
275, 60, 103968768, 0, 52, 2, 1023160320
276, 58, 103968768, 0, 52, 2, 1023160320
277, 60, 103968768, 0, 52, 2, 1023160320
278, 54, 103968768, 0, 52, 2, 1023160320
279, 69, 103968768, 0, 52, 2, 1023160320
280, 58, 103968768, 0, 52, 2, 1023160320
281, 58, 103968768, 0, 52, 2, 1023160320
282, 62, 103968768, 0, 52, 2, 1023291392
283, 54, 103968768, 0, 52, 2, 1019097088
