i, fps
1, 1
2, 50
3, 250
4, 49
5, 63
6, 60
7, 9
8, 30
9, 29
10, 60
11, 60
12, 60
13, 59
14, 56
15, 54
16, 66
17, 61
18, 57
19, 64
20, 59
21, 62
22, 56
23, 58
24, 62
25, 59
26, 58
27, 58
28, 64
29, 61
30, 58
31, 55
32, 62
33, 62
34, 58
35, 63
36, 57
37, 60
38, 61
39, 59
40, 59
41, 58
42, 63
43, 59
44, 57
45, 60
46, 62
47, 58
48, 61
49, 58
50, 59
51, 60
52, 58
53, 62
54, 27
55, 72
56, 58
57, 58
58, 19
59, 63
60, 59
61, 60
62, 62
63, 58
64, 61
65, 58
66, 60
67, 61
68, 61
69, 60
70, 59
71, 3
72, 386
73, 34
74, 59
75, 61
76, 29
77, 30
78, 29
79, 55
80, 61
81, 65
82, 60
83, 59
84, 59
85, 60
86, 59
87, 59
88, 60
89, 60
90, 59
91, 60
92, 59
93, 60
94, 53
95, 64
96, 62
97, 60
98, 56
99, 60
100, 61
101, 60
102, 60
103, 60
104, 59
105, 60
106, 58
107, 56
108, 60
109, 62
110, 61
111, 60
112, 58
113, 59
114, 57
115, 62
116, 58
117, 65
118, 59
119, 59
120, 60
121, 59
122, 57
123, 63
124, 58
125, 58
126, 62
127, 60
128, 60
129, 59
130, 60
131, 60
132, 59
133, 59
134, 60
135, 59
136, 60
137, 59
138, 52
139, 53
140, 61
141, 65
142, 60
143, 60
144, 57
145, 63
146, 59
147, 56
148, 63
149, 59
150, 60
151, 59
152, 55
153, 65
154, 55
155, 65
156, 59
157, 55
158, 65
159, 59
160, 60
161, 59
162, 60
163, 60
164, 55
165, 65
166, 59
167, 59
168, 60
169, 43
170, 68
171, 60
172, 59
173, 59
174, 60
175, 50
176, 60
177, 54
178, 74
179, 64
180, 59
181, 85
182, 60
183, 59
184, 57
185, 63
186, 60
187, 59
188, 59
189, 57
190, 62
191, 60
192, 58
193, 61
194, 60
195, 59
196, 59
197, 60
198, 59
199, 57
200, 62
201, 60
202, 55
203, 59
204, 64
205, 60
206, 56
207, 60
208, 62
209, 60
210, 60
211, 59
212, 54
213, 66
214, 53
215, 65
216, 58
217, 60
218, 64
219, 59
220, 55
221, 61
222, 62
223, 56
224, 64
225, 59
226, 55
227, 63
228, 56
229, 60
230, 67
231, 55
232, 63
233, 61
234, 57
235, 59
236, 63
237, 55
238, 65
239, 60
240, 57
241, 57
242, 65
243, 60
244, 57
245, 63
246, 59
247, 60
248, 59
249, 60
250, 59
251, 59
252, 58
253, 58
254, 59
255, 63
256, 60
257, 60
258, 60
259, 55
260, 64
261, 59
262, 59
263, 60
264, 59
265, 59
266, 60
267, 55
268, 61
269, 63
270, 60
271, 60
272, 59
273, 60
274, 55
275, 62
276, 63
277, 59
278, 60
279, 59
280, 56
281, 63
282, 58
283, 60
284, 60
285, 59
286, 60
287, 59
288, 59
289, 55
290, 47
291, 61
292, 56
293, 66
294, 58
295, 62
296, 59
297, 54
298, 62
299, 64
300, 59
301, 60
302, 103
303, 59
304, 58
305, 60
306, 60
307, 61
308, 56
309, 65
310, 59
311, 59
312, 59
313, 57
314, 63
315, 59
316, 59
317, 58
318, 50
319, 70
320, 61
321, 59
322, 58
323, 60
324, 59
325, 60
326, 59
327, 62
328, 57
329, 62
330, 57
331, 60
332, 61
333, 58
334, 60
335, 59
336, 60
337, 59
338, 62
339, 57
340, 60
341, 60
342, 61
343, 58
344, 60
345, 59
346, 60
347, 60
348, 61
349, 60
350, 59
351, 60
352, 60
353, 60
354, 59
355, 59
356, 58
357, 61
358, 60
359, 59
360, 59
361, 59
362, 58
363, 61
364, 59
365, 60
366, 57
367, 62
368, 58
369, 61
370, 60
371, 58
372, 61
373, 58
374, 60
375, 60
376, 60
377, 61
378, 57
379, 60
380, 59
381, 60
382, 57
383, 63
384, 62
385, 60
386, 56
387, 63
388, 59
389, 60
390, 59
391, 59
392, 60
393, 60
394, 57
395, 59
396, 61
397, 61
398, 60
399, 60
400, 59
401, 60
402, 59
403, 60
404, 60
405, 59
406, 60
407, 59
408, 58
409, 60
410, 53
411, 61
412, 59
413, 60
414, 60
415, 59
416, 60
417, 59
418, 58
419, 56
420, 65
421, 59
422, 60
423, 59
424, 55
425, 66
426, 59
427, 60
428, 60
429, 57
430, 58
431, 64
432, 54
433, 57
434, 69
435, 59
436, 60
437, 59
438, 59
439, 55
440, 65
441, 60
442, 60
443, 59
444, 55
445, 65
446, 59
447, 58
448, 55
449, 65
450, 60
451, 60
452, 59
453, 60
454, 54
455, 61
456, 65
457, 56
458, 63
459, 60
460, 59
461, 60
462, 60
463, 58
464, 60
465, 53
466, 65
467, 59
468, 53
469, 56
470, 67
471, 67
472, 57
473, 53
474, 62
475, 66
476, 60
477, 57
478, 61
479, 55
480, 60
481, 57
482, 60
483, 65
484, 56
485, 63
486, 59
487, 55
488, 57
489, 68
490, 60
491, 59
492, 52
493, 67
494, 59
495, 64
496, 58
497, 61
498, 59
499, 59
500, 59
501, 66
502, 60
503, 59
504, 60
505, 60
506, 59
507, 60
508, 58
509, 57
510, 58
511, 66
512, 37
513, 138
514, 55
515, 52
516, 79
517, 60
518, 59
519, 58
520, 61
521, 59
522, 55
523, 59
524, 65
525, 60
526, 59
527, 60
528, 59
529, 51
530, 65
531, 51
532, 59
533, 59
534, 59
535, 55
536, 64
537, 60
538, 55
539, 59
540, 65
