Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
229, 59, 81211392, 0
230, 59, 81211392, 8.13802
231, 60, 81211392, 0
232, 59, 81211392, 0
233, 59, 81211392, 0
234, 60, 81211392, 0
235, 64, 81211392, 0
236, 51, 81211392, 0
237, 69, 81211392, 0
238, 64, 81211392, 0
239, 61, 81211392, 0
240, 56, 81211392, 0
241, 52, 81211392, 0
242, 1, 81248256, 3.72023
243, 1305, 81248256, 0
244, 1381, 81248256, 0
245, 550, 81248256, 0
246, 1601, 81248256, 0
247, 2100, 81248256, 0
248, 895, 81248256, 0
249, 1572, 81248256, -nan(ind)
250, 898, 81248256, 0
251, 702, 81248256, 0
252, 2089, 81248256, 0
253, 247, 81248256, 0
254, 1443, 81248256, 0
255, 1803, 81248256, 0
256, 652, 81248256, 0
257, 1638, 81248256, 0
258, 1117, 81248256, 0
259, 974, 81248256, 0
260, 1511, 81248256, 0
261, 820, 81248256, -nan(ind)
262, 1928, 81248256, 0
263, 838, 81248256, 0
264, 1150, 81248256, 0
265, 1285, 81248256, 0
266, 940, 81248256, 130.352
267, 1486, 81248256, 0
268, 269, 81248256, -nan(ind)
269, 850, 81248256, 0
270, 1066, 81248256, -nan(ind)
271, 1112, 81248256, 0
272, 1064, 81248256, -nan(ind)
273, 994, 81248256, 0
274, 953, 81248256, 0
275, 1503, 81248256, 0
276, 848, 81248256, 0
277, 1162, 81248256, 0
278, 1011, 81248256, 0
279, 989, 81248256, 0
280, 1206, 81248256, 0
281, 705, 81248256, 0
282, 252, 81248256, 0
283, 860, 81248256, 0
284, 1930, 81248256, 0
285, 853, 81248256, 0
286, 1049, 81248256, 0
287, 1008, 81248256, 0
288, 1092, 81248256, 0
289, 1182, 81248256, 0
290, 1074, 81248256, 0
291, 749, 81248256, 0
292, 2176, 81248256, 0
293, 786, 81248256, 129.884
294, 1121, 81248256, 0
295, 1100, 81248256, 0
296, 27, 81248256, 0
297, 29, 81248256, 0
298, 29, 81248256, 0
299, 26, 81248256, 0
300, 62, 81248256, 0
301, 70, 81248256, 0
302, 57, 81248256, 0
303, 61, 81248256, 0
304, 66, 81248256, 0
305, 60, 81248256, 0
306, 59, 81248256, 0
307, 60, 81248256, 0
308, 56, 81248256, 0
309, 59, 81248256, 0
310, 59, 81248256, 0
311, 57, 81248256, 0
312, 61, 81248256, 0
313, 60, 81248256, 0
314, 57, 81248256, 0
315, 58, 81248256, 0
316, 70, 81248256, 7.84066
317, 58, 81248256, 0
318, 58, 81248256, 0
319, 63, 81248256, 0
320, 58, 81248256, 0
321, 57, 81248256, 0
322, 56, 81248256, 0
323, 62, 81248256, 0
