Time, Frames per second [F/S], RAM usage [B], CPU usage [%]
239, 70, 148713472, 0
240, 57, 148713472, 0
241, 62, 148713472, 0
242, 62, 148713472, 0
243, 60, 148713472, 8.13782
244, 59, 148713472, 7.66012
245, 59, 148713472, 0
246, 60, 148713472, 0
247, 60, 148713472, 0
248, 59, 148713472, 0
249, 60, 148713472, 0
250, 60, 148713472, 0
251, 59, 148713472, 0
252, 58, 148713472, 0
253, 55, 148713472, 0
