Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
125, 57, 152211456, 0, 53, 23, 1013862400
126, 57, 152211456, 0, 53, 23, 1013862400
127, 61, 152211456, 0, 53, 23, 1013862400
128, 58, 152211456, 0, 53, 23, 1013862400
129, 63, 152211456, 0, 53, 23, 1013862400
130, 56, 152211456, 15.3155, 53, 23, 1013862400
131, 63, 152211456, 0, 53, 23, 1013862400
132, 59, 152211456, 0, 53, 23, 1013862400
133, 60, 152211456, 0, 53, 23, 1013862400
134, 58, 152211456, 0, 53, 23, 1013862400
135, 58, 152211456, 0, 53, 23, 1013862400
136, 62, 152211456, 0, 53, 23, 1013862400
137, 59, 152211456, 0, 53, 23, 1011892224
138, 52, 152211456, 0, 53, 23, 1011892224
139, 73, 152211456, 0, 53, 23, 1011892224
140, 59, 152211456, 0, 53, 23, 1011892224
141, 57, 152211456, 0, 53, 22, 1011892224
142, 61, 152211456, 0, 53, 22, 1011892224
143, 62, 152211456, 0, 53, 22, 1011892224
144, 56, 152211456, 0, 53, 22, 1011892224
145, 57, 152211456, 7.65922, 53, 22, 1011892224
146, 63, 152211456, 0, 53, 22, 1011892224
147, 60, 152211456, 0, 53, 22, 1011892224
148, 61, 152211456, 0, 53, 22, 1011892224
149, 60, 152211456, 0, 53, 22, 1011892224
150, 55, 152211456, 0, 53, 22, 1011892224
151, 63, 152211456, 0, 53, 22, 1011892224
152, 59, 152211456, 0, 53, 22, 1011892224
153, 61, 152211456, 0, 53, 22, 1011892224
154, 59, 152211456, 0, 53, 22, 1011892224
155, 61, 152211456, 0, 53, 22, 1011892224
156, 53, 152211456, 0, 53, 22, 1011892224
157, 62, 152211456, 0, 53, 22, 1011892224
158, 62, 152211456, 0, 53, 22, 1011892224
159, 63, 152211456, 0, 53, 22, 1011892224
160, 60, 152211456, 0, 53, 22, 1011892224
161, 58, 152211456, 8.13924, 53, 22, 1011892224
162, 57, 152211456, 0, 53, 22, 1011892224
163, 62, 152211456, 0, 53, 22, 1011892224
164, 60, 152211456, 0, 53, 22, 1011892224
165, 60, 152211456, 0, 53, 22, 1011892224
166, 56, 152211456, 0, 53, 22, 1011892224
167, 64, 152211456, 0, 53, 22, 1011892224
168, 60, 152211456, 0, 53, 22, 1011892224
169, 59, 152211456, 0, 53, 22, 1011892224
170, 60, 152211456, 0, 53, 22, 1011892224
171, 57, 152211456, 0, 53, 22, 1011892224
172, 61, 152211456, 0, 53, 22, 1011892224
173, 61, 152211456, 0, 53, 22, 1011892224
174, 60, 152211456, 0, 53, 22, 1011892224
175, 59, 152211456, 0, 53, 22, 1011892224
176, 58, 152211456, 15.8152, 53, 22, 1011892224
177, 61, 152211456, 0, 53, 22, 1011892224
178, 59, 152211456, 0, 53, 22, 1011892224
179, 53, 152211456, 0, 53, 22, 1011892224
180, 61, 152211456, 0, 53, 22, 1011892224
181, 59, 152211456, 0, 53, 22, 1011892224
182, 60, 152211456, 0, 53, 22, 1011892224
183, 59, 152211456, 0, 53, 22, 1011892224
184, 56, 152211456, 0, 53, 22, 1011892224
185, 63, 152211456, 0, 53, 22, 1011892224
186, 53, 152211456, 0, 53, 22, 1011892224
187, 57, 152211456, 0, 53, 22, 1011892224
188, 68, 152211456, 0, 53, 22, 1011892224
189, 62, 152211456, 7.88305, 53, 22, 1011892224
190, 60, 152211456, 7.8206, 53, 22, 1011892224
191, 60, 152211456, 0, 53, 22, 1011892224
192, 60, 152211456, 0, 53, 22, 1011892224
193, 56, 152211456, 0, 53, 22, 1011892224
194, 63, 152211456, 0, 53, 22, 1011892224
195, 60, 152211456, 0, 53, 22, 1011892224
196, 59, 152211456, 0, 53, 22, 1011892224
197, 60, 152211456, 0, 53, 22, 1011892224
198, 59, 152211456, 0, 53, 22, 1011892224
199, 60, 152211456, 0, 53, 22, 1011892224
200, 57, 152211456, 0, 53, 22, 1011892224
201, 56, 152211456, 0, 53, 26, 1011892224
202, 64, 152211456, 0, 53, 26, 1011892224
203, 63, 152211456, 0, 53, 26, 1011892224
204, 59, 152211456, 0, 53, 26, 1011892224
205, 60, 152211456, 7.60878, 53, 26, 1011892224
206, 60, 152211456, 0, 53, 26, 1011892224
207, 60, 152211456, 0, 53, 26, 1011892224
