Time, Frames per second [F/S], RAM usage [B], CPU usage [%], GPU temperature [C], GPU utilization [%], VRAM used [B]
130, 60, 101019648, 0, 52, 3, 851226624
131, 60, 101019648, 0, 52, 3, 851226624
132, 60, 101019648, 0, 52, 3, 851226624
133, 60, 101019648, 0, 52, 3, 851226624
134, 59, 101019648, 0, 52, 3, 851226624
135, 59, 101019648, 0, 52, 3, 851226624
136, 59, 101019648, 7.65895, 52, 3, 851226624
137, 60, 101019648, 0, 52, 3, 851226624
138, 60, 101019648, 0, 52, 3, 851226624
139, 60, 101019648, 0, 52, 3, 851226624
140, 60, 101019648, 0, 52, 3, 851226624
141, 60, 101019648, 0, 52, 3, 851226624
142, 60, 101019648, 0, 52, 3, 851226624
143, 58, 101019648, 0, 52, 3, 851226624
144, 61, 101019648, 0, 52, 3, 851226624
145, 60, 101019648, 0, 52, 3, 851226624
146, 60, 101019648, 0, 52, 3, 851226624
147, 58, 101019648, 0, 52, 3, 851226624
148, 61, 101019648, 0, 52, 3, 851226624
149, 54, 101019648, 0, 52, 3, 851226624
150, 65, 101019648, 0, 52, 3, 851226624
151, 59, 101019648, 0, 52, 3, 851226624
152, 61, 101019648, 0, 52, 3, 851226624
